INVST_PLAN_ARR_SEQ_NUM,SEQ_DISP_NUM,CTRY_INVST_ACCT_CDE,GRP_MEMBR_INVST_ACCT_CDE,ACCT_INVST_NUM,ENGMT_STYLE_CDE,INVST_PLAN_NUM,INVST_PLAN_STAT_CDE,PDCY_INVST_CDE,PLAN_INSTR_NEXT_TM,PLAN_INSTR_NEXT_DT,CCY_INVST_REG_CDE,INVST_REG_AMT,CCY_INVST_ACCUM_CDE,INVST_ACCUM_AMT,CNTRB_SUCS_TTL_CNT,CNTRB_LAST_DT_TM,MDUN_SYS_CDE,LAST_INGESTION_TIMESTAMP,PRM_LNE_OF_BUS_CDE_FILTER,CTRY_CDE_FILTER,ENTITY_CDE_FILTER
17894564773,478945797,7878519,78944595632,105282,157874,457819000007, qydt732,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798707,  Current_timestamp  ,  system4586, current_timestamp  ,  147hc54, SAP10527T ,  57SAN8
17894564774,478945798,7878520,78944595633,105283,157875,457819000008, qydt733,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798708,  Current_timestamp  ,  system4587, current_timestamp  ,  147hc55, SAP10527T ,  57SAN9
17894564775,478945799,7878521,78944595634,105284,157876,457819000009, qydt734,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798709,  Current_timestamp  ,  system4588, current_timestamp  ,  147hc56, SAP10527T ,  57SAN10
17894564776,478945800,7878522,78944595635,105285,157877,457819000010, qydt735,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798710,  Current_timestamp  ,  system4589, current_timestamp  ,  147hc57, SAP10527T ,  57SAN11
17894564777,478945801,7878523,78944595636,105286,157878,457819000011, qydt736,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798711,  Current_timestamp  ,  system4590, current_timestamp  ,  147hc58, SAP10527T ,  57SAN12
17894564778,478945802,7878524,78944595637,105287,157879,457819000012, qydt737,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798712,  Current_timestamp  ,  system4591, current_timestamp  ,  147hc59, SAP10527T ,  57SAN13
17894564779,478945803,7878525,78944595638,105288,157880,457819000013, qydt738,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798713,  Current_timestamp  ,  system4592, current_timestamp  ,  147hc60, SAP10527T ,  57SAN14
17894564780,478945804,7878526,78944595639,105289,157881,457819000014, qydt739,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798714,  Current_timestamp  ,  system4593, current_timestamp  ,  147hc61, SAP10527T ,  57SAN15
17894564781,478945805,7878527,78944595640,105290,157882,457819000015, qydt740,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798715,  Current_timestamp  ,  system4594, current_timestamp  ,  147hc62, SAP10527T ,  57SAN16
17894564782,478945806,7878528,78944595641,105291,157883,457819000016, qydt741,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798716,  Current_timestamp  ,  system4595, current_timestamp  ,  147hc63, SAP10527T ,  57SAN17
17894564783,478945807,7878529,78944595642,105292,157884,457819000017, qydt742,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798717,  Current_timestamp  ,  system4596, current_timestamp  ,  147hc64, SAP10527T ,  57SAN18
17894564784,478945808,7878530,78944595643,105293,157885,457819000018, qydt743,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798718,  Current_timestamp  ,  system4597, current_timestamp  ,  147hc65, SAP10527T ,  57SAN19
17894564785,478945809,7878531,78944595644,105294,157886,457819000019, qydt744,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798719,  Current_timestamp  ,  system4598, current_timestamp  ,  147hc66, SAP10527T ,  57SAN20
17894564786,478945810,7878532,78944595645,105295,157887,457819000020, qydt745,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798720,  Current_timestamp  ,  system4599, current_timestamp  ,  147hc67, SAP10527T ,  57SAN21
17894564787,478945811,7878533,78944595646,105296,157888,457819000021, qydt746,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798721,  Current_timestamp  ,  system4600, current_timestamp  ,  147hc68, SAP10527T ,  57SAN22
17894564788,478945812,7878534,78944595647,105297,157889,457819000022, qydt747,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798722,  Current_timestamp  ,  system4601, current_timestamp  ,  147hc69, SAP10527T ,  57SAN23
17894564789,478945813,7878535,78944595648,105298,157890,457819000023, qydt748,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798723,  Current_timestamp  ,  system4602, current_timestamp  ,  147hc70, SAP10527T ,  57SAN24
17894564790,478945814,7878536,78944595649,105299,157891,457819000024, qydt749,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798724,  Current_timestamp  ,  system4603, current_timestamp  ,  147hc71, SAP10527T ,  57SAN25
17894564791,478945815,7878537,78944595650,105300,157892,457819000025, qydt750,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798725,  Current_timestamp  ,  system4604, current_timestamp  ,  147hc72, SAP10527T ,  57SAN26
17894564792,478945816,7878538,78944595651,105301,157893,457819000026, qydt751,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798726,  Current_timestamp  ,  system4605, current_timestamp  ,  147hc73, SAP10527T ,  57SAN27
17894564793,478945817,7878539,78944595652,105302,157894,457819000027, qydt752,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798727,  Current_timestamp  ,  system4606, current_timestamp  ,  147hc74, SAP10527T ,  57SAN28
17894564794,478945818,7878540,78944595653,105303,157895,457819000028, qydt753,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798728,  Current_timestamp  ,  system4607, current_timestamp  ,  147hc75, SAP10527T ,  57SAN29
17894564795,478945819,7878541,78944595654,105304,157896,457819000029, qydt754,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798729,  Current_timestamp  ,  system4608, current_timestamp  ,  147hc76, SAP10527T ,  57SAN30
17894564796,478945820,7878542,78944595655,105305,157897,457819000030, qydt755,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798730,  Current_timestamp  ,  system4609, current_timestamp  ,  147hc77, SAP10527T ,  57SAN31
17894564797,478945821,7878543,78944595656,105306,157898,457819000031, qydt756,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798731,  Current_timestamp  ,  system4610, current_timestamp  ,  147hc78, SAP10527T ,  57SAN32
17894564798,478945822,7878544,78944595657,105307,157899,457819000032, qydt757,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798732,  Current_timestamp  ,  system4611, current_timestamp  ,  147hc79, SAP10527T ,  57SAN33
17894564799,478945823,7878545,78944595658,105308,157900,457819000033, qydt758,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798733,  Current_timestamp  ,  system4612, current_timestamp  ,  147hc80, SAP10527T ,  57SAN34
17894564800,478945824,7878546,78944595659,105309,157901,457819000034, qydt759,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798734,  Current_timestamp  ,  system4613, current_timestamp  ,  147hc81, SAP10527T ,  57SAN35
17894564801,478945825,7878547,78944595660,105310,157902,457819000035, qydt760,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798735,  Current_timestamp  ,  system4614, current_timestamp  ,  147hc82, SAP10527T ,  57SAN36
17894564802,478945826,7878548,78944595661,105311,157903,457819000036, qydt761,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798736,  Current_timestamp  ,  system4615, current_timestamp  ,  147hc83, SAP10527T ,  57SAN37
17894564803,478945827,7878549,78944595662,105312,157904,457819000037, qydt762,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798737,  Current_timestamp  ,  system4616, current_timestamp  ,  147hc84, SAP10527T ,  57SAN38
17894564804,478945828,7878550,78944595663,105313,157905,457819000038, qydt763,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798738,  Current_timestamp  ,  system4617, current_timestamp  ,  147hc85, SAP10527T ,  57SAN39
17894564805,478945829,7878551,78944595664,105314,157906,457819000039, qydt764,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798739,  Current_timestamp  ,  system4618, current_timestamp  ,  147hc86, SAP10527T ,  57SAN40
17894564806,478945830,7878552,78944595665,105315,157907,457819000040, qydt765,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798740,  Current_timestamp  ,  system4619, current_timestamp  ,  147hc87, SAP10527T ,  57SAN41
17894564807,478945831,7878553,78944595666,105316,157908,457819000041, qydt766,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798741,  Current_timestamp  ,  system4620, current_timestamp  ,  147hc88, SAP10527T ,  57SAN42
17894564808,478945832,7878554,78944595667,105317,157909,457819000042, qydt767,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798742,  Current_timestamp  ,  system4621, current_timestamp  ,  147hc89, SAP10527T ,  57SAN43
17894564809,478945833,7878555,78944595668,105318,157910,457819000043, qydt768,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798743,  Current_timestamp  ,  system4622, current_timestamp  ,  147hc90, SAP10527T ,  57SAN44
17894564810,478945834,7878556,78944595669,105319,157911,457819000044, qydt769,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798744,  Current_timestamp  ,  system4623, current_timestamp  ,  147hc91, SAP10527T ,  57SAN45
17894564811,478945835,7878557,78944595670,105320,157912,457819000045, qydt770,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798745,  Current_timestamp  ,  system4624, current_timestamp  ,  147hc92, SAP10527T ,  57SAN46
17894564812,478945836,7878558,78944595671,105321,157913,457819000046, qydt771,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798746,  Current_timestamp  ,  system4625, current_timestamp  ,  147hc93, SAP10527T ,  57SAN47
17894564813,478945837,7878559,78944595672,105322,157914,457819000047, qydt772,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798747,  Current_timestamp  ,  system4626, current_timestamp  ,  147hc94, SAP10527T ,  57SAN48
17894564814,478945838,7878560,78944595673,105323,157915,457819000048, qydt773,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798748,  Current_timestamp  ,  system4627, current_timestamp  ,  147hc95, SAP10527T ,  57SAN49
17894564815,478945839,7878561,78944595674,105324,157916,457819000049, qydt774,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798749,  Current_timestamp  ,  system4628, current_timestamp  ,  147hc96, SAP10527T ,  57SAN50
17894564816,478945840,7878562,78944595675,105325,157917,457819000050, qydt775,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798750,  Current_timestamp  ,  system4629, current_timestamp  ,  147hc97, SAP10527T ,  57SAN51
17894564817,478945841,7878563,78944595676,105326,157918,457819000051, qydt776,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798751,  Current_timestamp  ,  system4630, current_timestamp  ,  147hc98, SAP10527T ,  57SAN52
17894564818,478945842,7878564,78944595677,105327,157919,457819000052, qydt777,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798752,  Current_timestamp  ,  system4631, current_timestamp  ,  147hc99, SAP10527T ,  57SAN53
17894564819,478945843,7878565,78944595678,105328,157920,457819000053, qydt778,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798753,  Current_timestamp  ,  system4632, current_timestamp  ,  147hc100, SAP10527T ,  57SAN54
17894564820,478945844,7878566,78944595679,105329,157921,457819000054, qydt779,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798754,  Current_timestamp  ,  system4633, current_timestamp  ,  147hc101, SAP10527T ,  57SAN55
17894564821,478945845,7878567,78944595680,105330,157922,457819000055, qydt780,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798755,  Current_timestamp  ,  system4634, current_timestamp  ,  147hc102, SAP10527T ,  57SAN56
17894564822,478945846,7878568,78944595681,105331,157923,457819000056, qydt781,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798756,  Current_timestamp  ,  system4635, current_timestamp  ,  147hc103, SAP10527T ,  57SAN57
17894564823,478945847,7878569,78944595682,105332,157924,457819000057, qydt782,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798757,  Current_timestamp  ,  system4636, current_timestamp  ,  147hc104, SAP10527T ,  57SAN58
17894564824,478945848,7878570,78944595683,105333,157925,457819000058, qydt783,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798758,  Current_timestamp  ,  system4637, current_timestamp  ,  147hc105, SAP10527T ,  57SAN59
17894564825,478945849,7878571,78944595684,105334,157926,457819000059, qydt784,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798759,  Current_timestamp  ,  system4638, current_timestamp  ,  147hc106, SAP10527T ,  57SAN60
17894564826,478945850,7878572,78944595685,105335,157927,457819000060, qydt785,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798760,  Current_timestamp  ,  system4639, current_timestamp  ,  147hc107, SAP10527T ,  57SAN61
17894564827,478945851,7878573,78944595686,105336,157928,457819000061, qydt786,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798761,  Current_timestamp  ,  system4640, current_timestamp  ,  147hc108, SAP10527T ,  57SAN62
17894564828,478945852,7878574,78944595687,105337,157929,457819000062, qydt787,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798762,  Current_timestamp  ,  system4641, current_timestamp  ,  147hc109, SAP10527T ,  57SAN63
17894564829,478945853,7878575,78944595688,105338,157930,457819000063, qydt788,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798763,  Current_timestamp  ,  system4642, current_timestamp  ,  147hc110, SAP10527T ,  57SAN64
17894564830,478945854,7878576,78944595689,105339,157931,457819000064, qydt789,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798764,  Current_timestamp  ,  system4643, current_timestamp  ,  147hc111, SAP10527T ,  57SAN65
17894564831,478945855,7878577,78944595690,105340,157932,457819000065, qydt790,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798765,  Current_timestamp  ,  system4644, current_timestamp  ,  147hc112, SAP10527T ,  57SAN66
17894564832,478945856,7878578,78944595691,105341,157933,457819000066, qydt791,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798766,  Current_timestamp  ,  system4645, current_timestamp  ,  147hc113, SAP10527T ,  57SAN67
17894564833,478945857,7878579,78944595692,105342,157934,457819000067, qydt792,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798767,  Current_timestamp  ,  system4646, current_timestamp  ,  147hc114, SAP10527T ,  57SAN68
17894564834,478945858,7878580,78944595693,105343,157935,457819000068, qydt793,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798768,  Current_timestamp  ,  system4647, current_timestamp  ,  147hc115, SAP10527T ,  57SAN69
17894564835,478945859,7878581,78944595694,105344,157936,457819000069, qydt794,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798769,  Current_timestamp  ,  system4648, current_timestamp  ,  147hc116, SAP10527T ,  57SAN70
17894564836,478945860,7878582,78944595695,105345,157937,457819000070, qydt795,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798770,  Current_timestamp  ,  system4649, current_timestamp  ,  147hc117, SAP10527T ,  57SAN71
17894564837,478945861,7878583,78944595696,105346,157938,457819000071, qydt796,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798771,  Current_timestamp  ,  system4650, current_timestamp  ,  147hc118, SAP10527T ,  57SAN72
17894564838,478945862,7878584,78944595697,105347,157939,457819000072, qydt797,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798772,  Current_timestamp  ,  system4651, current_timestamp  ,  147hc119, SAP10527T ,  57SAN73
17894564839,478945863,7878585,78944595698,105348,157940,457819000073, qydt798,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798773,  Current_timestamp  ,  system4652, current_timestamp  ,  147hc120, SAP10527T ,  57SAN74
17894564840,478945864,7878586,78944595699,105349,157941,457819000074, qydt799,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798774,  Current_timestamp  ,  system4653, current_timestamp  ,  147hc121, SAP10527T ,  57SAN75
17894564841,478945865,7878587,78944595700,105350,157942,457819000075, qydt800,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798775,  Current_timestamp  ,  system4654, current_timestamp  ,  147hc122, SAP10527T ,  57SAN76
17894564842,478945866,7878588,78944595701,105351,157943,457819000076, qydt801,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798776,  Current_timestamp  ,  system4655, current_timestamp  ,  147hc123, SAP10527T ,  57SAN77
17894564843,478945867,7878589,78944595702,105352,157944,457819000077, qydt802,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798777,  Current_timestamp  ,  system4656, current_timestamp  ,  147hc124, SAP10527T ,  57SAN78
17894564844,478945868,7878590,78944595703,105353,157945,457819000078, qydt803,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798778,  Current_timestamp  ,  system4657, current_timestamp  ,  147hc125, SAP10527T ,  57SAN79
17894564845,478945869,7878591,78944595704,105354,157946,457819000079, qydt804,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798779,  Current_timestamp  ,  system4658, current_timestamp  ,  147hc126, SAP10527T ,  57SAN80
17894564846,478945870,7878592,78944595705,105355,157947,457819000080, qydt805,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798780,  Current_timestamp  ,  system4659, current_timestamp  ,  147hc127, SAP10527T ,  57SAN81
17894564847,478945871,7878593,78944595706,105356,157948,457819000081, qydt806,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798781,  Current_timestamp  ,  system4660, current_timestamp  ,  147hc128, SAP10527T ,  57SAN82
17894564848,478945872,7878594,78944595707,105357,157949,457819000082, qydt807,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798782,  Current_timestamp  ,  system4661, current_timestamp  ,  147hc129, SAP10527T ,  57SAN83
17894564849,478945873,7878595,78944595708,105358,157950,457819000083, qydt808,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798783,  Current_timestamp  ,  system4662, current_timestamp  ,  147hc130, SAP10527T ,  57SAN84
17894564850,478945874,7878596,78944595709,105359,157951,457819000084, qydt809,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798784,  Current_timestamp  ,  system4663, current_timestamp  ,  147hc131, SAP10527T ,  57SAN85
17894564851,478945875,7878597,78944595710,105360,157952,457819000085, qydt810,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798785,  Current_timestamp  ,  system4664, current_timestamp  ,  147hc132, SAP10527T ,  57SAN86
17894564852,478945876,7878598,78944595711,105361,157953,457819000086, qydt811,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798786,  Current_timestamp  ,  system4665, current_timestamp  ,  147hc133, SAP10527T ,  57SAN87
17894564853,478945877,7878599,78944595712,105362,157954,457819000087, qydt812,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798787,  Current_timestamp  ,  system4666, current_timestamp  ,  147hc134, SAP10527T ,  57SAN88
17894564854,478945878,7878600,78944595713,105363,157955,457819000088, qydt813,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798788,  Current_timestamp  ,  system4667, current_timestamp  ,  147hc135, SAP10527T ,  57SAN89
17894564855,478945879,7878601,78944595714,105364,157956,457819000089, qydt814,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798789,  Current_timestamp  ,  system4668, current_timestamp  ,  147hc136, SAP10527T ,  57SAN90
17894564856,478945880,7878602,78944595715,105365,157957,457819000090, qydt815,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798790,  Current_timestamp  ,  system4669, current_timestamp  ,  147hc137, SAP10527T ,  57SAN91
17894564857,478945881,7878603,78944595716,105366,157958,457819000091, qydt816,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798791,  Current_timestamp  ,  system4670, current_timestamp  ,  147hc138, SAP10527T ,  57SAN92
17894564858,478945882,7878604,78944595717,105367,157959,457819000092, qydt817,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798792,  Current_timestamp  ,  system4671, current_timestamp  ,  147hc139, SAP10527T ,  57SAN93
17894564859,478945883,7878605,78944595718,105368,157960,457819000093, qydt818,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798793,  Current_timestamp  ,  system4672, current_timestamp  ,  147hc140, SAP10527T ,  57SAN94
17894564860,478945884,7878606,78944595719,105369,157961,457819000094, qydt819,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798794,  Current_timestamp  ,  system4673, current_timestamp  ,  147hc141, SAP10527T ,  57SAN95
17894564861,478945885,7878607,78944595720,105370,157962,457819000095, qydt820,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798795,  Current_timestamp  ,  system4674, current_timestamp  ,  147hc142, SAP10527T ,  57SAN96
17894564862,478945886,7878608,78944595721,105371,157963,457819000096, qydt821,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798796,  Current_timestamp  ,  system4675, current_timestamp  ,  147hc143, SAP10527T ,  57SAN97
17894564863,478945887,7878609,78944595722,105372,157964,457819000097, qydt822,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798797,  Current_timestamp  ,  system4676, current_timestamp  ,  147hc144, SAP10527T ,  57SAN98
17894564864,478945888,7878610,78944595723,105373,157965,457819000098, qydt823,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798798,  Current_timestamp  ,  system4677, current_timestamp  ,  147hc145, SAP10527T ,  57SAN99
17894564865,478945889,7878611,78944595724,105374,157966,457819000099, qydt824,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798799,  Current_timestamp  ,  system4678, current_timestamp  ,  147hc146, SAP10527T ,  57SAN100
17894564866,478945890,7878612,78944595725,105375,157967,457819000100, qydt825,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798800,  Current_timestamp  ,  system4679, current_timestamp  ,  147hc147, SAP10527T ,  57SAN101
17894564867,478945891,7878613,78944595726,105376,157968,457819000101, qydt826,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798801,  Current_timestamp  ,  system4680, current_timestamp  ,  147hc148, SAP10527T ,  57SAN102
17894564868,478945892,7878614,78944595727,105377,157969,457819000102, qydt827,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798802,  Current_timestamp  ,  system4681, current_timestamp  ,  147hc149, SAP10527T ,  57SAN103
17894564869,478945893,7878615,78944595728,105378,157970,457819000103, qydt828,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798803,  Current_timestamp  ,  system4682, current_timestamp  ,  147hc150, SAP10527T ,  57SAN104
17894564870,478945894,7878616,78944595729,105379,157971,457819000104, qydt829,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798804,  Current_timestamp  ,  system4683, current_timestamp  ,  147hc151, SAP10527T ,  57SAN105
17894564871,478945895,7878617,78944595730,105380,157972,457819000105, qydt830,6355078, Current_timestamp  ,  2022-03-14 ,480000,55800,8854,7894000,5798805,  Current_timestamp  ,  system4684, current_timestamp  ,  147hc152, SAP10527T ,  57SAN106
